# Generated by scripts/corpus/merge-dupes.ts — every group merged, and what the keeper gained.
# Only groups whose copies agreed on gender, part of speech and gloss are here.
# Cumulative across every pass: a merged duplicate cannot be re-derived, so rows are never dropped.
# kept	kept level/sector	retired	absorbed	note
der öffentliche Nahverkehr	B1/Urban life	B2/Transport & Mobility	ex	sector differs — resector?
der/die Bekannte	A1/People	B1/Relationships	ex	sector differs — resector?
der/die Bekannte	A1/People	B1/Work & Colleagues	ex	sector differs — resector?
der/die Vorgesetzte	B1/Work & profession	B2/Business & Workplace	syn+ex	sector differs — resector?
deshalb	A2/Adverbs	B1/Core Vocabulary	ex	sector differs — resector?
deutlich	A2/Adjectives	B1/Core Vocabulary	ex	sector differs — resector?
die Abstimmung	B1/Political and legal philosophy	B2/Politics & Sustainability	ex	sector differs — resector?
die Ader	A2/Body	B2/Body parts	ex	sector differs — resector?
die Angst	A1/Emotions	A2/Emotions, B1/Emotions	ex	re-sectored from Miscellaneous
die Anlage	B1/Town & travel	C1/Business Correspondence	ex+en	sector differs — resector?
die Anmeldung	A1/Administration	A2/Administration, B1/Real Estate & Moving	ex	re-sectored from Miscellaneous
die Anrede	A1/Communication	C1/Business Correspondence	ex	sector differs — resector?
die Anzeige	A1/Communication	A2/The Advertisement	ex	sector differs — resector?
die Aufführung	B1/Free time	B2/Music & Theatre	ex	sector differs — resector?
die Aufgabe	A1/Work	B1/Core Vocabulary	ex	sector differs — resector?
die Ausbildung	A2/Work	B2/Studies & Training	ex	sector differs — resector?
die Auseinandersetzung	B2/Academic Writing	C1/Academic Writing	syn+ex+en	re-sectored from Core Vocabulary
die Auskunft	A1/Town & travel	B1/Intermediate travel and daily life	syn+ex	sector differs — resector?
die Aussicht	A2/Weather & nature	B1/Miscellaneous	ex	sector differs — resector?
die Auswirkung	B1/Society	B2/Environment & Science	ex	sector differs — resector?
die Bank	A1/Town & travel	A2/Everyday life basics	ex	sector differs — resector?
die Baustelle	A2/Getting Around & Weather	B1/Town & travel	ex	sector differs — resector?
die Bedeutung	A2/Miscellaneous	B1/Core Vocabulary	ex+en	sector differs — resector?
die Beratung	A2/Work & profession	B1/Mental health concepts	ex+en	sector differs — resector?
die Beschwerde	B1/Communication	B2/Body & Illness	ex	sector differs — resector?
die Besichtigung	A2/Home	B1/Intermediate travel and daily life	ex+en	sector differs — resector?
die Bewegung	B1/Health	B2/Prevention & Wellbeing	ex	sector differs — resector?
die Bewerbung	A2/Work	B1/Work & career, B2/Job Applications	ex	sector differs — resector?
die Briefmarke	A1/Post & Communication	B1/Communication	ex	sector differs — resector?
die Brust	A2/Body	B1/Body parts	ex	sector differs — resector?
die Düne	A2/Landscape & nature	B1/Skiing and snowboarding	ex	sector differs — resector?
die Epoche	B1/Society	B2/Visual Arts	ex+en	sector differs — resector?
die Figur	B1/Literature	B2/Literature & Film	ex	sector differs — resector?
die Fortbildung	B1/Applying for Jobs	B2/Lifelong Learning	ex+en	sector differs — resector?
die Frau	A1/People	B1/Family relationships	ex	sector differs — resector?
die Freizeit	A1/Hobbies & Leisure	A2/Social life, B1/Hobbies and leisure	ex	sector differs — resector?
die Freundin	A1/First words to learn	A2/Relationships, B1/Family relationships	ex	sector differs — resector?
die Frist	B1/Administration	B2/Working Life	ex	sector differs — resector?
die Genehmigung	B1/Administration	B2/Core Vocabulary	ex+en	sector differs — resector?
die Gesellschaft	B1/Society	B2/Demographic Change	ex	sector differs — resector?
die Gleichberechtigung	B1/Politics	B2/Values & Norms	ex	sector differs — resector?
die Haltestelle	A1/Town & travel	A2/Town & travel, B1/Urban life	def+ex	sector differs — resector?
die Heimat	A1/Identity	B1/Home & Europe	syn+ex	sector differs — resector?
die Herrschaft	B1/Society	C2/Power & Authority	ex+en	sector differs — resector?
die Hochschule	B1/Education	B2/Studies & Training	ex+en	sector differs — resector?
die Hose	A1/Clothing	B1/Clothing	ex	
die Kaltmiete	A2/Home	B2/Real Estate & Moving	ex+en	sector differs — resector?
die Kaution	A2/Home	B2/Real Estate & Moving	ex	sector differs — resector?
die Kleidung	A1/Clothing	A2/Clothing	ex	re-sectored from Miscellaneous
die Kneipe	A2/Social life	B1/Urban life	ex	sector differs — resector?
die Kommode	A1/Home	B1/Furniture	ex+en	sector differs — resector?
die Kompetenz	B1/Lifelong Learning	B2/Lifelong Learning	syn+ex	re-sectored from Miscellaneous
die Krankenkasse	A2/Doctor & patient	B1/Body and health, B2/Healthcare System	ex	sector differs — resector?
die Krankenschwester	A1/First words to learn	A2/Care & doctor	ex	sector differs — resector?
die Krankheit	A2/Health	B1/Body and health	ex	sector differs — resector?
die Krawatte	A1/Clothing	B1/Clothing	syn+ex	
die Kreuzung	A1/City & Directions	A2/Getting Around & Weather, B1/Town & travel	ex	sector differs — resector?
die Lage	A2/Home	B1/Miscellaneous	syn+ex	sector differs — resector?
die Lehre	A2/Work	B1/University & Studies	syn+ex+en	sector differs — resector?
die Maßnahme	B1/Administration	B2/Core Vocabulary, C1/Sustainability Policy	ex+syn+en	sector differs — resector?
die Meinungsfreiheit	B1/Politics	B2/Media Critique, C1/Civic Courage	ex+syn	sector differs — resector?
die Möglichkeit	A2/Communication	B1/Core Vocabulary	ex	sector differs — resector?
die Mülltrennung	B1/Environment	B2/Sustainable Lifestyle	ex	sector differs — resector?
die Mütze	A1/Clothing	A2/Clothing	ex	
die Nachfrage	B1/Economy & Markets	B2/Economy & Markets	ex	re-sectored from Miscellaneous
die Nachricht	A1/Communication	A2/Communication, B1/Communication & Media	ex	sector differs — resector?
die Nebenkosten	A2/Home	B1/Home, B2/Real Estate & Moving	ex+en	sector differs — resector?
die Norm	B2/Values & Norms	C1/Changing Values	syn+ex	sector differs — resector?
die Note	A1/Work	A2/School & Training, B2/School & Education System	ex	sector differs — resector?
die Nähe	A2/Spatial relations	B1/Society	plural+ant+ex+en	sector differs — resector?
die Pause	A1/Work	A2/Fitness and training	ex+en	sector differs — resector?
die Pflicht	A2/Ethics & Responsibility	B1/Core Vocabulary, C1/Ethics & Responsibility	ex+syn	re-sectored from Miscellaneous
die Praxis	A2/Health	B2/Healthcare System	ex	sector differs — resector?
die Probezeit	B1/Work & career	B2/Job Applications	ex+en	sector differs — resector?
die Prüfung	A1/Work	B1/Higher Education, B2/Studies & Training	ex	sector differs — resector?
die Psyche	B1/Mental health concepts	B2/Prevention & Wellbeing	ex+en	sector differs — resector?
die Rechnung	A1/Dining	B1/Personal finance	ex	sector differs — resector?
die Reichweite	B2/Social Networks	C1/Core Vocabulary	ex	sector differs — resector?
die Reparatur	A1/Home	B1/Services & Complaints	ex	sector differs — resector?
die Richtung	A1/Town & travel	A2/Spatial relations	ex	sector differs — resector?
die Ruhe	A2/Intermediate travel and daily life	B1/Intermediate travel and daily life	ex+en	re-sectored from Miscellaneous
die Schlange	A2/Landscape & nature	B1/Animals	ex	sector differs — resector?
die Schlussfolgerung	B2/Argument & Thesis	C2/Argument & Thesis	plural+syn+ex	re-sectored from Core Vocabulary
die Schuld	B1/Mental health concepts	C2/Responsibility & Guilt	syn+ant+ex	sector differs — resector?
die Schulden	B1/Personal finance	B2/Finance & Taxes	ex	sector differs — resector?
die Sehenswürdigkeit	A1/Art & Sights	A2/Town & travel, B1/Intermediate travel and daily life, B2/Getting Around & Communication	ex	sector differs — resector?
die Sitte	B1/Rules & Etiquette	B2/Culture & Encounter	syn+ex+en	sector differs — resector?
die Soße	A2/Food & drink	B1/Food and beverages	syn+ex	sector differs — resector?
die Spezialität	A1/Food & drink	B1/Home & Europe	ex	sector differs — resector?
die Stadt	A1/Town & travel	B1/Urban life	ex	sector differs — resector?
die Steckdose	A2/Home	B1/Home	ex	
die Stelle	A1/Work	B2/Job Applications	ex	sector differs — resector?
die Straße	A1/Town & travel	B1/Urban life	ex	sector differs — resector?
die Tragweite	C1/Limits of Knowledge	C2/Limits of Knowledge	syn+ex	re-sectored from Core Vocabulary
die Treppe	A1/Home	B1/Home	ex	
die U-Bahn	A1/Town & travel	A2/Everyday life basics, B1/Urban life	ex+en	sector differs — resector?
die Umkleidekabine	A2/Money & shopping	B1/Clothing	ex	sector differs — resector?
die Verabredung	A1/University & Appointments	A2/Social life	ex+en	sector differs — resector?
die Veranstaltung	A1/Free time	A2/Weekend & Events, B1/Arts and culture	ex+en	sector differs — resector?
die Verdichtung	B2/Urban Planning & Future	C2/Core Vocabulary	ex+en	sector differs — resector?
die Vereinbarung	B1/Politics	B2/Core Vocabulary	ex	sector differs — resector?
die Verhandlung	B1/Work	C1/Negotiation & Argument	syn+ex+en	sector differs — resector?
die Verpflichtung	B2/Responsibility & Generations	C2/Responsibility & Generations	plural+syn+ex	re-sectored from Core Vocabulary
die Versorgung	B1/Society	B2/Healthcare System	ex+en	sector differs — resector?
die Verständigung	B2/Getting Around & Communication	C1/Interculturality	ex+en	sector differs — resector?
die Vielfalt	B1/Home & Europe	B2/Migration & Integration	ant+ex	sector differs — resector?
die Voraussetzung	A2/Work & career	B1/Work & career, B2/Core Vocabulary	syn+ex	re-sectored from Miscellaneous
die Voreingenommenheit	B2/Media Critique	C1/Artificial Intelligence	ex	sector differs — resector?
die Vorliebe	A2/Objects & Materials	B1/Miscellaneous	ex+en	sector differs — resector?
die Vorspeise	A1/Restaurant & Dining	A2/Dining, B1/Food and beverages	ant+ex	sector differs — resector?
die Vorstellung	B1/Arts and culture	B2/Music & Theatre	ex	sector differs — resector?
die Wahl	B1/Society	C1/Democratic Structures	syn+ex	sector differs — resector?
die Ware	A2/Money & shopping	B1/Advertising & Consumption	ex+en	sector differs — resector?
die Weiterbildung	A2/University & study	B2/Lifelong Learning	ex+en	sector differs — resector?
die Werbung	A2/Work & Profession	B1/Media	ex	sector differs — resector?
die Wohnung	A1/Home	A2/Everyday life basics, B1/Home	syn+ex	sector differs — resector?
die Wurst	A1/Food & drink	A2/Food and beverages	ex	sector differs — resector?
die Zuversicht	B1/Miscellaneous	C1/Core Vocabulary	syn+ex	sector differs — resector?
die künstliche Intelligenz	B2/AI & Technology	C1/Artificial Intelligence	ex	sector differs — resector?
die Überweisung	A2/Money & shopping	B1/Personal finance, B2/Healthcare System	ex	sector differs — resector?
die Überzeugung	B2/Changing Values	C1/Changing Values	plural+syn+ex	re-sectored from Core Vocabulary
die Übung	A1/Work	B1/Fitness and training	ex	sector differs — resector?
einkaufen	A1/Core verbs	A2/Everyday life basics	ex+en	sector differs — resector?
einreichen	A2/Business & Workplace	B2/Business & Workplace	ex	re-sectored from Miscellaneous
einräumen	A1/Home	C1/Core Vocabulary, C2/Rhetoric & Debate	syn+ex+en	sector differs — resector?
einstellen	A2/Company & Departments	B1/Work, B2/Job Applications	ex+ant+en	sector differs — resector?
endlich	A1/Adverbs	A2/Adverbs	ex	re-sectored from Miscellaneous
eng	A1/Adjectives	A2/Clothing Store, B1/Home	ex+en	sector differs — resector?
erfahren	A2/Intermediate everyday verbs	B1/Intermediate everyday verbs	ex	re-sectored from Miscellaneous
ergänzen	B1/Intermediate everyday verbs	B2/Core Vocabulary	syn+ex+en	sector differs — resector?
erheblich	B2/Artificial Intelligence	C1/Artificial Intelligence	syn+ex	re-sectored from Core Vocabulary
erkennen	A2/Core verbs	B1/Intermediate everyday verbs	ex	sector differs — resector?
erreichen	A1/Core verbs	B1/Core verbs	ex	re-sectored from Miscellaneous
erzählen	A1/Communication	A2/Intermediate everyday verbs, B2/Literature & Film	ex	sector differs — resector?
fahren	A1/Core verbs	A2/Basic verbs	ex	sector differs — resector?
fertig	A1/Adjectives	A2/Core Vocabulary	ex	sector differs — resector?
fließend	B1/Languages & Multilingualism	C1/Language Acquisition & Linguistics	syn+ant+ex	sector differs — resector?
folglich	B2/Individual & System	C1/Individual & System	ex	re-sectored from Core Vocabulary
formulieren	A2/Business Correspondence	C1/Business Correspondence	syn+ex	re-sectored from Miscellaneous
frei	A1/Adjectives	A2/Core Vocabulary	ex	sector differs — resector?
fremd	A1/Adjectives	B1/Rules & Etiquette, B2/Culture & Encounter	ex+en	sector differs — resector?
früh	A1/Basic time concepts	A2/Everyday life basics	syn+ex	sector differs — resector?
funktionieren	A1/Technology & Devices	A2/Core verbs	ex	sector differs — resector?
fördern	A2/School & Education System	B1/Core Vocabulary, B2/School & Education System, C1/Development & Inequality	ex+en	re-sectored from Miscellaneous
gegenseitig	B1/Miscellaneous	B2/Core Vocabulary	—	sector differs — resector?
gehören	A1/Core verbs	B1/Core Vocabulary	ex	sector differs — resector?
gemeinsam	A2/Adjectives	B1/Core Vocabulary	ex+en	sector differs — resector?
gemütlich	A1/Housing & Room Search	A2/Adjectives, B1/Home	ex	sector differs — resector?
gestalten	A2/Arts and culture	B1/Arts and culture	syn+ex+en	re-sectored from Miscellaneous
glauben	A1/Core verbs	A2/Intermediate everyday verbs	ex	sector differs — resector?
glaubwürdig	B2/Media Critique	C1/Sustainability & CSR	syn+ex	sector differs — resector?
gleichwohl	C1/Global Economy	C2/Core Vocabulary	ex	sector differs — resector?
gravierend	B2/Core Vocabulary	C1/Core Vocabulary	syn+ex+en	
heilen	A2/Treatment	B1/Body and health	ex	sector differs — resector?
hell	A1/Adjectives	A2/Colors	ex	sector differs — resector?
hervorheben	B2/Academic Writing	C1/Academic Writing	syn+ex+en	re-sectored from Core Vocabulary
herzlich	A1/Adjectives	B1/Intermediate descriptive adjectives	ex	sector differs — resector?
hingegen	B2/Academic Writing	C1/Academic Writing	ex+en	re-sectored from Core Vocabulary
hinterfragen	B2/Media Critique	C1/Core Vocabulary	syn+ex	sector differs — resector?
holen	A1/Core verbs	A2/Core Vocabulary	ex	sector differs — resector?
indem	B1/Connectors	C1/Individual & System	ex	sector differs — resector?
kalt	A1/Adjectives	A2/Intermediate descriptive adjectives	ex	sector differs — resector?
kennen	A1/Core verbs	A2/Basic verbs	ex	sector differs — resector?
krank	A1/Body & health	A2/Everyday life basics	ex	sector differs — resector?
kündigen	B1/Work	B2/Business & Workplace	ex	sector differs — resector?
lecker	A1/Adjectives	A2/Food and beverages	ex	sector differs — resector?
leicht	A1/Adjectives	A2/Miscellaneous	ex	sector differs — resector?
leihen	A2/Money & shopping	B1/Personal finance	ex	sector differs — resector?
liegen	A1/Core verbs	A2/Furniture	ex	sector differs — resector?
lächerlich	B1/Living Together & Housing	B2/Adjectives	ex	sector differs — resector?
malen	A1/Free time	A2/Colors	ex	sector differs — resector?
mieten	A1/Housing & Room Search	A2/Home, B1/Intermediate travel and daily life	ex	sector differs — resector?
mit	A1/Spatial relations	A2/Spatial relations	ex	re-sectored from Core Vocabulary
mitmachen	A1/Social life	A2/Miscellaneous	ex	sector differs — resector?
nach	A1/Spatial relations	A2/Spatial relations	ex+en	re-sectored from Core Vocabulary
nachweisen	B2/Science concepts	C2/Sources & Evidence	ipa+syn+ant+ex+en	sector differs — resector?
offen	A1/Adjectives	A2/Relationships	ex	sector differs — resector?
passen	A1/Clothing	A2/Money & shopping, B1/Games	ex+en	sector differs — resector?
probieren	A2/Food and beverages	B1/Food and beverages	syn+ex	re-sectored from Miscellaneous
prägen	B2/Values & Norms	C1/Cultural Identity	ex	sector differs — resector?
recherchieren	A2/News Media	B2/News Media	ex	re-sectored from Miscellaneous
regelmäßig	A2/Body and health	B1/Body and health	ex	re-sectored from Miscellaneous
regeln	B1/Politics & Society	C1/Politics & Society	syn+ex	re-sectored from Miscellaneous
reparieren	A1/Core verbs	A2/Core verbs, B1/Intermediate everyday verbs	ex	re-sectored from Miscellaneous
richtig	A1/Adjectives	A2/Core Vocabulary	ex	sector differs — resector?
ruhig	A1/Adjectives	A2/Apartment & Location	ex	sector differs — resector?
sauer	A2/Food & drink	B1/Food and beverages	ex	sector differs — resector?
scharf	A2/Food & drink	B1/Food and beverages	ex	sector differs — resector?
schließen	A1/Core verbs	A2/Basic verbs, B2/Core Vocabulary	ex	sector differs — resector?
schlüssig	C1/Rhetoric & Debate	C2/Rhetoric & Debate	ex	re-sectored from Core Vocabulary
schnell	A1/Adjectives	A2/Core Vocabulary	ex	sector differs — resector?
sich einschreiben	B1/University & study	B2/Studies & Training	ex	sector differs — resector?
sich engagieren	B1/Social life	C1/Civil Society & Engagement	syn+ex	sector differs — resector?
sich erholen	A2/Health	B1/Intermediate everyday verbs, B2/Body & Illness	ex+syn+en	sector differs — resector?
sich kümmern	A1/Social life	B1/Core Vocabulary	ex	sector differs — resector?
sich streiten	A2/Social life	B1/Living Together & Housing	syn+ex	sector differs — resector?
spannend	A2/Intermediate descriptive adjectives	B1/Adjectives, B2/Literature & Film	ant+ex+syn+en	sector differs — resector?
sparen	A2/Money & shopping	B2/Finance & Taxes	ex	sector differs — resector?
speichern	A2/Communication	B1/Digital World & Technology	ex	sector differs — resector?
spät	A1/Basic time concepts	A2/Everyday life basics	ex	sector differs — resector?
suchen	A1/Core verbs	A2/Basic verbs	ex	sector differs — resector?
sympathisch	A1/Adjectives	B1/Intermediate descriptive adjectives	ex	sector differs — resector?
süß	A1/Adjectives	A2/Food and beverages	ex	sector differs — resector?
trainieren	A1/Free time	A2/Body and health, B1/Fitness and training, C1/Artificial Intelligence	ex	sector differs — resector?
triftig	C1/Rhetoric & Debate	C2/Rhetoric & Debate	ex+en	re-sectored from Core Vocabulary
trotzdem	A2/Adverbs	B1/Core Vocabulary	ex	sector differs — resector?
täglich	A1/Basic time concepts	A2/Everyday life basics	syn+ex	sector differs — resector?
tätig	B1/Applying for Jobs	B2/Adjectives	ex	sector differs — resector?
umsteigen	A2/Town & travel	B1/Transport & Mobility, B2/Transport & Mobility	ex	sector differs — resector?
umtauschen	A2/Money & shopping	B1/Intermediate travel and daily life	ex	sector differs — resector?
umziehen	A1/Home	B1/Intermediate everyday verbs	ex	sector differs — resector?
unglaublich	A2/Entertainment & Media	B1/Entertainment & Media	ex+en	re-sectored from Miscellaneous
untermauern	C1/Rhetoric & Debate	C2/Rhetoric & Debate	ex	re-sectored from Core Vocabulary
verdienen	A1/Work & Profession	A2/Work	ex+en	sector differs — resector?
verlängern	A2/Intermediate travel and daily life	B1/Intermediate travel and daily life	ant+ex	re-sectored from Miscellaneous
vermissen	A2/Social life	B1/Miscellaneous	ex	sector differs — resector?
vermuten	A1/Communication	B1/Communication	ex+en	re-sectored from Miscellaneous
vernetzt	B1/Adjectives	B2/Social Networks	ex+en	sector differs — resector?
versuchen	A1/Core verbs	A2/Core verbs	ex	re-sectored from Miscellaneous
vielleicht	A1/Adverbs	A2/Core Vocabulary	ex	sector differs — resector?
vorläufig	B2/Limits of Knowledge	C2/Limits of Knowledge	syn+ant+ex+en	re-sectored from Core Vocabulary
vorschlagen	A2/Communication	B1/Intermediate everyday verbs	ex	sector differs — resector?
vorsichtig	A1/Adjectives	A2/Adjectives, B1/Adjectives	ex+ant	re-sectored from Miscellaneous
wechseln	A2/Work & profession	C1/Multilingualism	ex+en	sector differs — resector?
werben	A2/Work	B1/Advertising & Consumption	ex	sector differs — resector?
wesentlich	B1/Miscellaneous	B2/Core Vocabulary	ex	sector differs — resector?
wählen	A2/Politics	B1/Society	ex+en	sector differs — resector?
zentral	A2/Adjectives	B1/Intermediate travel and daily life	ex	sector differs — resector?
zufrieden	A1/Adjectives	A2/Adjectives	ex	re-sectored from Miscellaneous
zusehends	C1/Core Vocabulary	C2/Core Vocabulary	syn+ex+en	
zusätzlich	A2/Work & Colleagues	B1/Work & Colleagues	ex	re-sectored from Miscellaneous
ökologisch	B1/Farm	B2/Sustainable Lifestyle	ant+ex	sector differs — resector?
überlegen	A2/Intermediate everyday verbs	B1/Intermediate everyday verbs	syn+ex+en	re-sectored from Miscellaneous
